classroom,firstname,lastname,birthday,gender,email
1A,Graziella,Peric,11-23-2000,O,
1A,Elisa,Pacco,8-19-2000,M,
1A,Maurizio,Gustin,12-21-2000,F,
1A,Luisa,Pacco,2-8-2000,O,
1A,Gino,Bravin,9-5-2000,O,
1A,Riccardo,Falanga,8-2-2000,F,
1A,Veronica,Verdi,4-25-2000,M,
1A,Maurizio,Verdi,7-25-2000,O,
1A,Andrea,Bianchi,6-13-2000,F,
1A,Lorenzo,Ronchiato,12-2-2000,O,
1B,Zambio,Dalvador,5-18-2000,M,
1B,Massimo,Caenazzo,11-12-2000,M,
1B,Ludovico,Smith,4-16-2000,O,
1B,Silvia,Pacco,11-14-2000,F,
1B,Sofia,Pacco,11-27-2000,O,
1B,Luisa,Komauli,2-3-2000,O,
1B,Luca,Nkrtov,6-11-2000,F,
1B,Riccardo,Rossi,7-18-2000,M,
1B,Gino,Nemesi,6-20-2000,M,
1B,Elisa,Ronchiato,4-23-2000,O,
1C,Massimo,Baruzza,9-23-2000,F,
1C,Elisa,Dalvador,6-23-2000,M,
1C,Fabiana,Gustin,10-18-2000,M,
1C,Andrea,Franzoni,4-23-2000,M,
1C,Sofia,Peric,3-15-2000,O,
1C,Graziella,Degrassi,10-10-2000,M,
1C,Serena,Bianchi,5-3-2000,O,
1C,Luisa,Ronchiato,8-25-2000,M,
1C,Pippo,Bravin,9-18-2000,F,
1C,Guglielmo,Rossi,11-14-2000,M,
1D,Silvia,Franzoni,4-7-2000,M,
1D,Ludovico,Smith,9-28-2000,M,
1D,Luca,Dalvador,3-23-2000,O,
1D,Sofia,Caenazzo,7-17-2000,M,
1D,Elisa,Novelli,6-16-2000,M,
1D,Andrea,Verdi,3-27-2000,O,
1D,Gino,Novelli,10-7-2000,F,
1D,Fabio,Bianchi,3-22-2000,M,
1D,Gino,Novelli,10-14-2000,M,
1D,Riccardo,Smith,9-22-2000,M,
1E,Zambio,Dalvador,12-19-2000,F,
1E,Giovanna,Degrassi,9-28-2000,O,
1E,Veronica,Rossi,3-3-2000,F,
1E,Giacomo,Nemesi,3-16-2000,O,
1E,Giovanna,Caenazzo,12-15-2000,O,
1E,Maurizio,Pacco,9-24-2000,F,
1E,Mario,Gustin,6-28-2000,M,
1E,Andrea,Nkrtov,6-15-2000,M,
1E,Veronica,Verdi,12-5-2000,M,
1E,Lorenzo,Bravin,7-13-2000,O,
2A,Gino,Novelli,9-10-2000,O,
2A,Mario,Nkrtov,7-3-2000,O,
2A,Giacomo,Peric,7-14-2000,F,
2A,Gino,Komauli,10-8-2000,M,
2A,Sofia,Bravin,2-3-2000,F,
2A,Serena,Nkrtov,10-11-2000,M,
2A,Ludovico,Bianchi,7-4-2000,F,
2A,Fabio,Bianchi,10-20-2000,O,
2A,Ludovico,Franzoni,9-12-2000,M,
2A,Giacomo,Smith,11-14-2000,M,
2B,Massimo,Petronio,12-19-2000,F,
2B,Guglielmo,Bravin,8-12-2000,M,
2B,Silvia,Smith,12-3-2000,M,
2B,Riccardo,Petronio,11-16-2000,O,
2B,Graziella,Dalvador,8-25-2000,M,
2B,Giacomo,Novelli,4-19-2000,O,
2B,Luisa,Falanga,11-15-2000,O,
2B,Fabiana,Nemesi,8-28-2000,O,
2B,Mario,Petronio,9-2-2000,O,
2B,Veronica,Nkrtov,4-11-2000,M,
2C,Pippo,Komauli,11-17-2000,F,
2C,Gino,Ronchiato,8-20-2000,F,
2C,Fabio,Peric,10-6-2000,F,
2C,Graziella,Novelli,12-9-2000,O,
2C,Lorenzo,Nemesi,11-24-2000,M,
2C,Fabiana,Falanga,4-15-2000,F,
2C,Luca,Verdi,6-2-2000,F,
2C,Mario,Rossi,11-26-2000,O,
2C,Veronica,Rossi,11-16-2000,O,
2C,Lorenzo,Caenazzo,12-24-2000,O,
2D,Graziella,Baruzza,12-5-2000,M,
2D,Giacomo,Nemesi,3-24-2000,M,
2D,Serena,Nemesi,6-20-2000,O,
2D,Ludovico,Nkrtov,4-5-2000,M,
2D,Zambio,Bianchi,6-7-2000,F,
2D,Massimo,Falanga,5-13-2000,F,
2D,Zambio,Komauli,12-14-2000,M,
2D,Guglielmo,Degrassi,2-12-2000,F,
2D,Silvia,Verdi,8-4-2000,F,
2D,Graziella,Rossi,4-25-2000,F,
2E,Guglielmo,Dalvador,10-3-2000,F,
2E,Sofia,Nkrtov,7-23-2000,F,
2E,Zambio,Rossi,8-8-2000,F,
2E,Zambio,Degrassi,9-9-2000,O,
